algoritme,score,housecount,water,iteratie,score,,
Random,23342745,60,"[[12, 152, 172, 8]]",292,23342745,,
Random,23342895,60,"[[61, 203, 97, 171], [222, 298, 338, 112], [278, 59, 304, 47]]",293,23342895,,
Random,23343690,60,"[[137, 97, 253, 25], [80, 297, 188, 161]]",294,23343690,,
Random,23344335,60,"[[146, 283, 181, 259], [253, 320, 339, 116], [3, 152, 16, 140], [7, 240, 97, 190]]",295,23344335,,
Random,23344950,60,"[[121, 235, 313, 115]]",296,23344950,,
Random,23345190,60,"[[170, 111, 240, 54], [29, 264, 35, 243], [1, 80, 72, 20], [162, 219, 350, 141]]",297,23345190,,
Random,23345205,60,"[[91, 316, 181, 200], [272, 96, 304, 87], [149, 33, 187, 6], [196, 290, 250, 81]]",298,23345205,,
Random,23346330,60,"[[278, 304, 358, 16]]",299,23346330,,
Random,23346675,60,"[[72, 231, 276, 120], [215, 27, 233, 5]]",300,23346675,,
Random,23346705,60,"[[71, 275, 251, 147]]",301,23346705,,
Random,23347110,60,"[[209, 192, 353, 32]]",302,23347110,,
Random,23347425,60,"[[227, 308, 355, 128]]",303,23347425,,
Random,23347710,60,"[[242, 282, 332, 26]]",304,23347710,,
Random,23347980,60,"[[115, 207, 235, 15]]",305,23347980,,
Random,23348025,60,"[[191, 232, 243, 130], [92, 122, 245, 15], [249, 94, 270, 29]]",306,23348025,,
Random,23349255,60,"[[86, 227, 172, 7], [277, 300, 342, 252], [203, 291, 228, 251]]",307,23349255,,
Random,23349255,60,"[[17, 202, 177, 58]]",308,23349255,,
Random,23349600,60,"[[203, 199, 331, 19]]",309,23349600,,
Random,23349660,60,"[[11, 188, 203, 68]]",310,23349660,,
Random,23349945,60,"[[2, 113, 242, 17]]",311,23349945,,
Random,23350005,60,"[[80, 262, 336, 172]]",312,23350005,,
Random,23351040,60,"[[40, 292, 280, 196]]",313,23351040,,
Random,23351700,60,"[[1, 238, 72, 145], [108, 116, 271, 17], [296, 159, 316, 144]]",314,23351700,,
Random,23351850,60,"[[146, 250, 326, 122]]",315,23351850,,
Random,23352315,60,"[[32, 309, 68, 275], [121, 307, 323, 199]]",316,23352315,,
Random,23352345,60,"[[177, 272, 297, 80]]",317,23352345,,
Random,23352750,60,"[[134, 268, 294, 124]]",318,23352750,,
Random,23353005,60,"[[175, 153, 355, 25]]",319,23353005,,
Random,23353380,60,"[[227, 47, 315, 11], [27, 312, 135, 128]]",320,23353380,,
Random,23353950,60,"[[237, 247, 357, 55]]",321,23353950,,
Random,23354460,60,"[[5, 305, 154, 157], [73, 37, 111, 11]]",322,23354460,,
Random,23355240,60,"[[66, 163, 226, 19]]",323,23355240,,
Random,23355660,60,"[[4, 279, 184, 151]]",324,23355660,,
Random,23355810,60,"[[3, 173, 147, 15], [52, 222, 61, 190]]",325,23355810,,
Random,23355960,60,"[[216, 305, 344, 125]]",326,23355960,,
Random,23356005,60,"[[20, 312, 200, 184]]",327,23356005,,
Random,23356035,60,"[[52, 291, 292, 195]]",328,23356035,,
Random,23356095,60,"[[178, 78, 211, 18], [131, 311, 326, 203]]",329,23356095,,
Random,23356260,60,"[[45, 143, 158, 77], [2, 294, 161, 196]]",330,23356260,,
Random,23357070,60,"[[143, 268, 244, 178], [74, 246, 136, 21]]",331,23357070,,
Random,23357730,60,"[[188, 195, 297, 155], [51, 124, 137, 15], [199, 110, 293, 11]]",332,23357730,,
Random,23357955,60,"[[96, 269, 276, 141]]",333,23357955,,
Random,23358090,60,"[[67, 297, 323, 207]]",334,23358090,,
Random,23359260,60,"[[178, 72, 306, 12], [29, 167, 157, 47]]",335,23359260,,
Random,23359755,60,"[[88, 101, 328, 5]]",336,23359755,,
Random,23359845,60,"[[172, 110, 351, 8], [302, 233, 325, 194], [164, 253, 275, 218]]",337,23359845,,
Random,23360355,60,"[[16, 220, 256, 145], [198, 125, 270, 55]]",338,23360355,,
Random,23361015,60,"[[217, 248, 324, 128], [24, 243, 174, 175]]",339,23361015,,
Random,23361150,60,"[[186, 192, 330, 32]]",340,23361150,,
Random,23361450,60,"[[100, 299, 179, 59], [240, 46, 342, 6]]",341,23361450,,
Random,23361660,60,"[[120, 100, 145, 32], [105, 318, 325, 221]]",342,23361660,,
Random,23362650,60,"[[166, 203, 326, 59]]",343,23362650,,
Random,23363085,60,"[[187, 192, 247, 14], [57, 295, 131, 147], [40, 101, 62, 37]]",344,23363085,,
Random,23363445,60,"[[13, 307, 70, 265], [66, 198, 186, 75], [0, 168, 54, 59]]",345,23363445,,
